Home,HomeGoals,Away,AwayGoals,Final
Brazil,3,Croatia,1,1
Mexico,1,Cameroon,0,1
Brazil,0,Mexico,0,1
Cameroon,0,Croatia,4,1
Cameroon,0,Brazil,0,0
Croatia,0,Mexico,0,0
Spain,1,Netherlands,5,1
Chile,3,Australia,1,1
Spain,0,Chile,2,1
Australia,2,Netherlands,3,1
Australia,0,Spain,0,0
Netherlands,0,Chile,0,0
Colombia,3,Greece,0,1
Côte d'Ivoire,2,Japan,1,1
Colombia,2,Côte d'Ivoire,1,1
Japan,0,Greece,0,1
Japan,0,Colombia,0,0
Côte d'Ivoire,0,Greece,0,0
Uruguay,1,Costa Rica,3,1
England,1,Italy,2,1
Uruguay,2,England,1,1
Italy,0,Costa Rica,1,1
Italy,0,Uruguay,0,0
Costa Rica,0,England,0,0
Switzerland,2,Ecuador,1,1
France,3,Honduras,0,1
Switzerland,2,France,5,1
Honduras,1,Ecuador,2,1
Honduras,0,Switzerland,0,0
Ecuador,0,France,0,0
Argentina,2,Bosnia-Herzegovina,1,1
Iran,0,Nigeria,0,1
Argentina,1,Iran,0,1
Nigeria,1,Bosnia-Herzegovina,0,1
Nigeria,0,Argentina,0,0
Bosnia-Herzegovina,0,Iran,0,0
Germany,4,Portugal,0,1
Ghana,1,United States,2,1
Germany,2,Ghana,2,1
United States,0,Portugal,0,0
United States,0,Germany,0,0
Portugal,0,Ghana,0,0
Belgium,2,Algeria,1,1
Russia,1,Korea Republic,1,1
Belgium,1,Russia,0,1
Korea Republic,2,Algeria,4,1
Korea Republic,0,Belgium,0,0
Algeria,0,Russia,0,0
